"filename", "language", "JavaScript", "Handlebars", "JSON", "Log", "XML", "CSS", "TypeScript", "SCSS", "Properties", "comment", "blank", "total"
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-admin.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-classification.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-companies.json", "JSON", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 1, 143
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-employers.json", "JSON", 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-facility_management.json", "JSON", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-resident.json", "JSON", 0, 0, 1579, 0, 0, 0, 0, 0, 0, 0, 20, 1599
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\data\test-data-unitTeam.json", "JSON", 0, 0, 346, 0, 0, 0, 0, 0, 0, 0, 1, 347
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-admin.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-all.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 64
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-classification.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-companies.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-employers.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-facility_management.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-residents.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\test-data\populate\populate-unitTeam.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\activityLogUtils.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 61
"c:\Users\KCTCodingIm12\Desktop\KCI PI Beta 3.0\api\utils\adminUtils.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 143
